,episode,round,state,action,reward,done,model,environment
220,67,1,1,1.0,-1.0,False,Q_learning,ABC
221,67,2,2,,10.0,True,Q_learning,ABC
222,68,0,0,1.0,,,Q_learning,ABC
223,68,1,1,1.0,-1.0,False,Q_learning,ABC
224,68,2,2,,10.0,True,Q_learning,ABC
225,69,0,0,1.0,,,Q_learning,ABC
226,69,1,1,1.0,-1.0,False,Q_learning,ABC
227,69,2,2,,10.0,True,Q_learning,ABC
228,70,0,0,1.0,,,Q_learning,ABC
229,70,1,0,1.0,-1.0,False,Q_learning,ABC
230,70,2,1,1.0,-1.0,False,Q_learning,ABC
231,70,3,2,,10.0,True,Q_learning,ABC
232,71,0,0,1.0,,,Q_learning,ABC
233,71,1,1,1.0,-1.0,False,Q_learning,ABC
234,71,2,2,,10.0,True,Q_learning,ABC
235,72,0,0,1.0,,,Q_learning,ABC
236,72,1,1,1.0,-1.0,False,Q_learning,ABC
237,72,2,2,,10.0,True,Q_learning,ABC
238,73,0,0,1.0,,,Q_learning,ABC
239,73,1,1,1.0,-1.0,False,Q_learning,ABC
240,73,2,2,,10.0,True,Q_learning,ABC
241,74,0,0,1.0,,,Q_learning,ABC
242,74,1,1,1.0,-1.0,False,Q_learning,ABC
243,74,2,2,,10.0,True,Q_learning,ABC
244,75,0,0,1.0,,,Q_learning,ABC
245,75,1,1,1.0,-1.0,False,Q_learning,ABC
246,75,2,2,,10.0,True,Q_learning,ABC
247,76,0,0,1.0,,,Q_learning,ABC
248,76,1,1,1.0,-1.0,False,Q_learning,ABC
249,76,2,2,,10.0,True,Q_learning,ABC
250,77,0,0,1.0,,,Q_learning,ABC
251,77,1,1,1.0,-1.0,False,Q_learning,ABC
252,77,2,2,,10.0,True,Q_learning,ABC
253,78,0,0,1.0,,,Q_learning,ABC
254,78,1,1,1.0,-1.0,False,Q_learning,ABC
255,78,2,2,,10.0,True,Q_learning,ABC
256,79,0,0,1.0,,,Q_learning,ABC
257,79,1,1,1.0,-1.0,False,Q_learning,ABC
258,79,2,2,,10.0,True,Q_learning,ABC
259,80,0,0,1.0,,,Q_learning,ABC
260,80,1,1,1.0,-1.0,False,Q_learning,ABC
261,80,2,2,,10.0,True,Q_learning,ABC
262,81,0,0,1.0,,,Q_learning,ABC
263,81,1,1,1.0,-1.0,False,Q_learning,ABC
264,81,2,2,,10.0,True,Q_learning,ABC
265,82,0,0,1.0,,,Q_learning,ABC
266,82,1,1,1.0,-1.0,False,Q_learning,ABC
267,82,2,2,,10.0,True,Q_learning,ABC
268,83,0,0,1.0,,,Q_learning,ABC
269,83,1,1,1.0,-1.0,False,Q_learning,ABC
270,83,2,2,,10.0,True,Q_learning,ABC
271,84,0,0,1.0,,,Q_learning,ABC
272,84,1,1,1.0,-1.0,False,Q_learning,ABC
273,84,2,2,,10.0,True,Q_learning,ABC
274,85,0,0,1.0,,,Q_learning,ABC
275,85,1,1,1.0,-1.0,False,Q_learning,ABC
276,85,2,2,,10.0,True,Q_learning,ABC
277,86,0,0,1.0,,,Q_learning,ABC
278,86,1,1,1.0,-1.0,False,Q_learning,ABC
279,86,2,2,,10.0,True,Q_learning,ABC
280,87,0,0,1.0,,,Q_learning,ABC
281,87,1,1,1.0,-1.0,False,Q_learning,ABC
282,87,2,2,,10.0,True,Q_learning,ABC
283,88,0,0,1.0,,,Q_learning,ABC
284,88,1,1,1.0,-1.0,False,Q_learning,ABC
285,88,2,1,1.0,-1.0,False,Q_learning,ABC
286,88,3,2,,10.0,True,Q_learning,ABC
287,89,0,0,1.0,,,Q_learning,ABC
288,89,1,1,1.0,-1.0,False,Q_learning,ABC
289,89,2,2,,10.0,True,Q_learning,ABC
290,90,0,0,1.0,,,Q_learning,ABC
291,90,1,1,1.0,-1.0,False,Q_learning,ABC
292,90,2,2,,10.0,True,Q_learning,ABC
293,91,0,0,1.0,,,Q_learning,ABC
294,91,1,1,1.0,-1.0,False,Q_learning,ABC
295,91,2,2,,10.0,True,Q_learning,ABC
296,92,0,0,1.0,,,Q_learning,ABC
297,92,1,1,1.0,-1.0,False,Q_learning,ABC
298,92,2,1,1.0,-1.0,False,Q_learning,ABC
299,92,3,1,1.0,-1.0,False,Q_learning,ABC
300,92,4,2,,10.0,True,Q_learning,ABC
301,93,0,0,1.0,,,Q_learning,ABC
302,93,1,1,1.0,-1.0,False,Q_learning,ABC
303,93,2,2,,10.0,True,Q_learning,ABC
304,94,0,0,1.0,,,Q_learning,ABC
305,94,1,1,1.0,-1.0,False,Q_learning,ABC
306,94,2,2,,10.0,True,Q_learning,ABC
307,95,0,0,1.0,,,Q_learning,ABC
308,95,1,1,1.0,-1.0,False,Q_learning,ABC
309,95,2,2,,10.0,True,Q_learning,ABC
